"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","location"
"50186453","YAAAS TEA","Queens","271-11","UNION TURNPIKE","11040","6462692590",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.751867722884","-73.702815096973","413","23","155102","4174329","4085550075","QN44","POINT (-73.702815096973 40.751867722884)"
"50181906","WATCHHOUSE COFFEE","Manhattan","287","PARK AVENUE SOUTH","10010","9172097206",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.739678047559","-73.986720296845","105","02","006800","1018010","1008780001","MN21","POINT (-73.986720296845 40.739678047559)"
"50186305","THE CONSULATE MURRAY HILL","Manhattan","160","E 38TH ST PLAZA TERRACE","10016","3474635620",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.748413033027","-73.976721369511","106","04","008000","1019099","1008930041","MN20","POINT (-73.976721369511 40.748413033027)"
"50181069","PASTAGASM","Manhattan","124","MACDOUGAL STREET","10012","3473410711",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.730044692477","-74.000432970954","102","01","006500","1008698","1005400011","MN23","POINT (-74.000432970954 40.730044692477)"
"50156071","IL PITTINO","Manhattan","268","6 AVENUE","10014","2129823300",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.729322795774","-74.002356057989","102","03","006500","1008297","1005260016","MN23","POINT (-74.002356057989 40.729322795774)"
"50038938","BUKANITAS","Brooklyn","6014","NEW UTRECHT AVENUE","11219","3472239827","Mexican","2022-04-09T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable","0",,,"2026-06-29T06:00:20.000","Inter-Agency Task Force / Initial Inspection","40.627519056864","-73.996602816821","312","44","019200","3141316","3057190042","BK88","POINT (-73.996602816821 40.627519056864)"
"50167575","OZAKA INC","Queens","13-46","127 STREET","11356","7189028531",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.786262701229","-73.841123776452","407","19","094700","4097123","4040030074","QN23","POINT (-73.841123776452 40.786262701229)"
"50159831","PAO DE QUEIJO & CO.","Queens","31-90","30 STREET","11106","9173258744",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.762516107761","-73.92605928813","401","22","007500","4445865","4005880001","QN70","POINT (-73.92605928813 40.762516107761)"
"50185218","MARY K. MAC, INC.","Manhattan","565","WEST  207 STREET","10034","9292178365",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.866343228213","-73.920335732806","112","10","029300","1064858","1022270033","MN01","POINT (-73.920335732806 40.866343228213)"
"50181936","HARISSA LLC","Manhattan","221","WEST   38 STREET","10018","3476369768",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.753866018844","-73.989612185526","105","03","011300","1014479","1007880036","MN17","POINT (-73.989612185526 40.753866018844)"
"50161943","FROZEN EXPLOSION","Brooklyn","5326","NEW UTRECHT AVENUE","11219","7326625555",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.632939954317","-73.995226262185","312","44","021800","3138992","3056690040","BK88","POINT (-73.995226262185 40.632939954317)"
"50107193","NUTRIPLATES","Queens","21918","HORACE HARDING EXPRESS  WAY",,"7182813031","American","2026-05-14T00:00:00.000","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","9",,,"2026-06-29T06:00:20.000","Cycle Inspection / Initial Inspection","0","0",,,,,"4",,
"50165012","PAVIN86","Manhattan","1663","1 AVENUE","10028","3473984583",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.777237798059","-73.949118601091","108","05","014602","1050033","1015490029","MN32","POINT (-73.949118601091 40.777237798059)"
"50145149","SABOR Y PASION EN LA COCINA INC","Manhattan","4233","BROADWAY","10033","6466495032",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.849311348264","-73.936665225529","112","10","026500","1064269","1021760050","MN36","POINT (-73.936665225529 40.849311348264)"
"50177432","Saint Raymond Academy for Girls","Bronx","1725","CASTLE HILL AVENUE","10462","7186979925",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.840992448241","-73.853092698782","209","18","021001","2041260","2039580140","BX46","POINT (-73.853092698782 40.840992448241)"
"50178529","JOYBITE TANGHULU INC","Queens","42","BROADWAY","11414","3479232084",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.657486450864","-73.829779407705","410","32","088400","4296303","4142340518","QN57","POINT (-73.829779407705 40.657486450864)"
"50178163","GODUNK","Manhattan","332","BOWERY","10012","2129147892",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.725817475466","-73.992008586687","102","01","005502","1008490","1005300040","MN23","POINT (-73.992008586687 40.725817475466)"
"50171305","GRILL ON LEE","Brooklyn","868","BEDFORD AVENUE","11205","3479061774",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.695218962567","-73.956282043244","303","33","123700","3054773","3019000057","BK75","POINT (-73.956282043244 40.695218962567)"
"50182337","BREWPUNK COLLECTIVE","Manhattan","1172","AMSTERDAM AVENUE","10027","5088630201",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.807906549933","-73.960267998898","109","07","020300","1084460","1019730001","MN09","POINT (-73.960267998898 40.807906549933)"
"50164736","CHADA","Manhattan","260","6 AVENUE","10014","6466593569",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-06-29T06:00:24.000",,"40.729094977878","-74.002467899133","102","03","006500","1008295","1005260011","MN23","POINT (-74.002467899133 40.729094977878)"
"50086798","JOE COFFEE","Manhattan",,"GRAND CENTRAL TERMINAL","10017","7187043793","Coffee/Tea","2022-11-09T00:00:00.000","Violations were cited in the following area(s).","06F","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.","Critical","8","A","2022-11-09T00:00:00.000","2026-06-29T06:00:20.000","Cycle Inspection / Initial Inspection",,,,,,,,,
