상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800800619,참편한공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11650,서초구,11650600,방배1동,1165010100,방배동,1165010100109270035,1,대지,927,35,서울특별시 서초구 방배동 927-35,116504163255,서울특별시 서초구 방배로19길,25,,1165010100109270035014757,,서울특별시 서초구 방배로19길 25,137843,06682,,1,,126.993690874112,37.4848437764076
MA010120220803649129,진미용실,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,11,서울특별시,11230,동대문구,11230533,용두동,1123010200,용두동,1123010200100390112,1,대지,39,112,서울특별시 동대문구 용두동 39-112,112304115533,서울특별시 동대문구 천호대로35길,25,,1123010200100390112038626,,서울특별시 동대문구 천호대로35길 25,130817,02564,,,,127.041409336096,37.5744593104203
MA010120220801202388,인제약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,11,서울특별시,11260,중랑구,11260590,상봉2동,1126010200,상봉동,1126010200101290003,1,대지,129,3,서울특별시 중랑구 상봉동 129-3,112603005032,서울특별시 중랑구 망우로,214,,1126010200101290084016339,,서울특별시 중랑구 망우로 214,131861,02121,,1,,127.076634955002,37.5937409699733
MA010120220810376929,법무법인청연,,M1,과학·기술,M103,법무관련 ,M10301,변호사,M71101,변호사업,11,서울특별시,11650,서초구,11650530,서초3동,1165010800,서초동,1165010800116000003,1,대지,1600,3,서울특별시 서초구 서초동 1600-3,116503121024,서울특별시 서초구 서초중앙로,53,,1165010800116000003021041,대림빌딩,서울특별시 서초구 서초중앙로 53,137953,06654,,7,,127.015004299235,37.4865368877443
MA010120220812980424,사이커뮤니케이션,,M1,과학·기술,M105,광고,M10504,광고물 설계/제작업,M71393,광고물 문안; 도안; 설계 등 작성업,11,서울특별시,11140,중구,11140635,약수동,1114016200,신당동,1114016200103680089,1,대지,368,89,서울특별시 중구 신당동 368-89,111403101014,서울특별시 중구 다산로,108,,1114016200103680089007424,청라빌딩,서울특별시 중구 다산로 108,100827,04597,,3,,127.010151378794,37.5534458919677
MA010120220803471328,R&C공인중개사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11440,마포구,11440600,대흥동,1144011000,노고산동,1144011000100310157,1,대지,31,157,서울특별시 마포구 노고산동 31-157,114403005016,서울특별시 마포구 백범로,21,,1144011000100310157007224,에버빌딩,서울특별시 마포구 백범로 21,121806,04108,,2,,126.937541783946,37.5528621803678
MA010120220812387470,뷰티하우스,,S2,수리·개인,S207,이용·미용,S20703,네일숍,S96119,기타 미용업,11,서울특별시,11260,중랑구,11260600,중화1동,1126010300,중화동,1126010300102870007,1,대지,287,7,서울특별시 중랑구 중화동 287-7,112603000001,서울특별시 중랑구 동일로,790,,1126010300102870007013434,,서울특별시 중랑구 동일로 790,131876,02088,,1,,127.079835882094,37.6010458853003
MA010120220803663767,내셔널지오그래픽,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47419,기타 의복 소매업,11,서울특별시,11230,동대문구,11230560,전농1동,1123010400,전농동,1123010400105910052,1,대지,591,52,서울특별시 동대문구 전농동 591-52,112303105008,서울특별시 동대문구 왕산로,210,,1123010400105910053000001,롯데청량리,서울특별시 동대문구 왕산로 210,130851,02555,,5,,127.046518589705,37.5806292178592
MA010120220812223692,바로공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11560,영등포구,11560540,여의동,1156011000,여의도동,1156011000100350005,1,대지,35,5,서울특별시 영등포구 여의도동 35-5,115603118019,서울특별시 영등포구 여의나루로,42,,1156011000100350005031610,,서울특별시 영등포구 여의나루로 42,150885,07328,,3,,126.924966167732,37.5214730201695
MA010120220803587331,백두권투체육관,,P1,교육,P106,기타 교육,P10601,태권도/무술학원,P85611,태권도 및 무술 교육기관,11,서울특별시,11305,강북구,11305545,송중동,1130510100,미아동,1130510100101310005,1,대지,131,5,서울특별시 강북구 미아동 131-5,113053005039,서울특별시 강북구 도봉로,154,,1130510100101310005018680,,서울특별시 강북구 도봉로 154,142809,01160,,2,,127.028035556849,37.6225311154822
